second	Volt1	Volt2	clean	background	clean-back	dR/dN
-3.50E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.50E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.49E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.49E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.48E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.48E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.47E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.47E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.46E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.46E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.45E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.45E-02	1.94E+00	-1.67E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.44E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.44E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.43E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.43E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.42E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.42E-02	1.94E+00	-1.67E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.41E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.41E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.40E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.40E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.39E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.39E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.38E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.38E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.37E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.37E-02	1.94E+00	-1.67E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.36E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.36E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.35E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.35E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
