second,Volt1,Volt2
-27.80000E-03,+90.38693497E+00,+47.57668340E+00
-27.75000E-03,+90.38693497E+00,+47.77768843E+00
-27.70000E-03,+90.38693497E+00,+47.57668340E+00
-27.65000E-03,+90.08542743E+00,+48.58170854E+00
-27.60000E-03,+90.38693497E+00,+49.18472362E+00
-27.55000E-03,+90.38693497E+00,+48.58170854E+00
-27.50000E-03,+90.58793999E+00,+49.58673367E+00
-27.45000E-03,+90.78894502E+00,+49.78773870E+00
-27.40000E-03,+90.78894502E+00,+49.18472362E+00
-27.35000E-03,+90.78894502E+00,+49.98874372E+00
-27.30000E-03,+90.98995005E+00,+49.98874372E+00
-27.25000E-03,+90.88944753E+00,+49.18472362E+00
-27.20000E-03,+90.78894502E+00,+50.79276383E+00
-27.15000E-03,+91.19095507E+00,+49.98874372E+00
-27.10000E-03,+91.39196010E+00,+50.79276383E+00
-27.05000E-03,+91.29145759E+00,+50.79276383E+00
-27.00000E-03,+91.59296513E+00,+50.79276383E+00
-26.95000E-03,+91.09045256E+00,+51.39577891E+00
-26.90000E-03,+90.98995005E+00,+51.19477388E+00
-26.85000E-03,+91.19095507E+00,+51.59678394E+00
-26.80000E-03,+91.19095507E+00,+51.59678394E+00
-26.75000E-03,+91.49246261E+00,+51.59678394E+00
-26.70000E-03,+91.19095507E+00,+51.59678394E+00
-26.65000E-03,+91.19095507E+00,+50.99376886E+00
-26.60000E-03,+89.98492491E+00,-40.06150824E+00
-26.55000E-03,+90.28643245E+00,-80.46351860E+00
-26.50000E-03,+90.18592994E+00,-81.87055379E+00
-26.45000E-03,+89.98492491E+00,-81.87055379E+00
-26.40000E-03,+89.58291486E+00,-81.87055379E+00
-26.35000E-03,+89.68341737E+00,-81.87055379E+00
-26.30000E-03,+89.98492491E+00,-81.87055379E+00
-26.25000E-03,+89.88442240E+00,-81.87055379E+00
-26.20000E-03,+89.58291486E+00,-78.65447336E+00
-26.15000E-03,+89.98492491E+00,-71.82030246E+00
-26.10000E-03,+89.58291486E+00,-62.97608128E+00
-26.05000E-03,+89.48241235E+00,-56.94593048E+00
-26.00000E-03,+89.58291486E+00,-49.70974952E+00
-25.95000E-03,+89.48241235E+00,-43.88060375E+00
-25.90000E-03,+89.38190983E+00,-38.45346802E+00
